service_date,gtfs_route_id,gtfs_route_short_name,gtfs_route_desc,route_category,mode_type,peak_offpeak_ind,reliability_percentage
2023-09-30,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,70.9090909090909
2023-09-29,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,55.12820512820513
2023-09-29,553,553,Express Bus,Other Bus,Bus,PEAK,27.77777777777778
2023-09-28,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,59.756097560975604
2023-09-28,553,553,Express Bus,Other Bus,Bus,PEAK,32.142857142857146
2023-09-26,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,58.82352941176471
2023-09-27,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,60.0
2023-09-27,553,553,Express Bus,Other Bus,Bus,PEAK,40.54054054054054
2023-09-26,553,553,Express Bus,Other Bus,Bus,PEAK,41.66666666666667
2023-09-25,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,57.47126436781609
2023-09-25,553,553,Express Bus,Other Bus,Bus,PEAK,56.75675675675676
2023-09-23,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,44.0
2023-09-22,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,48.80952380952381
2023-09-22,553,553,Express Bus,Other Bus,Bus,PEAK,42.857142857142854
2023-09-21,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,54.65116279069767
2023-09-19,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,52.56410256410257
2023-09-21,553,553,Express Bus,Other Bus,Bus,PEAK,42.857142857142854
2023-09-19,553,553,Express Bus,Other Bus,Bus,PEAK,27.77777777777778
2023-09-18,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,56.79012345679012
2023-09-18,553,553,Express Bus,Other Bus,Bus,PEAK,48.57142857142857
2023-09-16,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,82.53968253968253
2023-09-15,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.56179775280899
2023-09-15,553,553,Express Bus,Other Bus,Bus,PEAK,38.46153846153847
2023-09-14,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,49.333333333333336
2023-09-13,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,56.09756097560976
2023-09-14,553,553,Express Bus,Other Bus,Bus,PEAK,34.285714285714285
2023-09-12,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,44.18604651162791
2023-09-13,553,553,Express Bus,Other Bus,Bus,PEAK,48.57142857142857
2023-09-12,553,553,Express Bus,Other Bus,Bus,PEAK,27.27272727272727
2023-09-11,553,553,Express Bus,Other Bus,Bus,PEAK,32.432432432432435
2023-09-11,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.649350649350644
2023-09-09,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,74.24242424242425
2023-09-08,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,53.01204819277109
2023-09-07,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,60.86956521739131
2023-09-08,553,553,Express Bus,Other Bus,Bus,PEAK,36.11111111111111
2023-09-07,553,553,Express Bus,Other Bus,Bus,PEAK,23.52941176470588
2023-09-06,553,553,Express Bus,Other Bus,Bus,PEAK,11.76470588235294
2023-09-06,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,51.89873417721519
2023-09-05,553,553,Express Bus,Other Bus,Bus,PEAK,27.027027027027028
2023-09-05,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,48.717948717948715
2023-09-02,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,56.52173913043478
2023-09-01,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,48.19277108433735
2023-09-01,553,553,Express Bus,Other Bus,Bus,PEAK,50.0
2023-08-31,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,45.45454545454545
2023-08-31,553,553,Express Bus,Other Bus,Bus,PEAK,17.647058823529413
2023-08-30,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.63291139240506
2023-08-30,553,553,Express Bus,Other Bus,Bus,PEAK,40.54054054054054
2023-08-29,553,553,Express Bus,Other Bus,Bus,PEAK,45.714285714285715
2023-08-29,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,63.52941176470588
2023-08-28,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,48.05194805194805
2023-08-26,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,80.32786885245902
2023-08-28,553,553,Express Bus,Other Bus,Bus,PEAK,64.51612903225806
2023-08-25,553,553,Express Bus,Other Bus,Bus,PEAK,66.66666666666666
2023-08-25,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,52.0
2023-08-24,553,553,Express Bus,Other Bus,Bus,PEAK,41.17647058823529
